Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange
0,1,100078.1,5801.815,-7726.36,1,9662.18,-53.09668,3.372973E-009,5.998423E-006,7
1,2,79453.13,6119.737,-9334.17,1,11161.45,-56.75006,3.461267E-009,6.907001E-006,7
2,4,63140.62,6668.567,-11295.5,1,13117.09,-59.44352,-1.203286E-010,4.990499E-006,6
3,5,50203.12,7182.266,-13780.2,1,15539.59,-62.47139,-8.454659E-011,5.107722E-007,6
4,7,39890.62,7851.447,-16848.13,1,18587.76,-65.01387,-4.739706E-010,-7.321869E-007,6
5,8,31640.63,8716.38,-20623.48,1,22389.8,-67.08897,-6.892176E-011,6.693554E-006,6
6,10,25171.88,9812.9,-25195.82,1,27039.27,-68.7208,-2.605109E-010,2.402987E-006,6
7,11,20015.62,11184.62,-30761.28,1,32731.52,-70.01904,9.059997E-011,4.238159E-006,6
8,12,15890.62,12940.69,-37536.21,1,39704.27,-70.97826,-3.351874E-012,1.079984E-005,6
9,14,12609.38,15096.45,-45782.66,1,48207.42,-71.75047,3.398037E-011,6.161572E-006,6
10,15,10078.13,17749.4,-55425.7,1,58198.36,-72.24298,-3.179468E-011,6.866241E-006,6
11,17,8015.625,20960.21,-67106.27,1,70303.49,-72.65414,-1.667035E-010,4.324063E-006,6
12,18,6328.125,26053.32,-81748.41,1,85799.63,-72.32285,-5.162903E-011,-3.215355E-006,5
13,20,5015.625,30911.52,-99328.5,1,104027.3,-72.71361,-4.386697E-011,1.738546E-006,5
14,21,3984.375,36654.14,-120476.2,1,125928.7,-73.07794,-3.816414E-011,8.831048E-007,5
15,23,3170.956,43848.68,-145839.5,1,152288.8,-73.26586,-6.719586E-011,7.947547E-007,5
16,25,2527.573,52011.57,-176221,1,183736.3,-73.55605,-6.005457E-011,-4.382562E-006,5
17,26,1976.103,63333.75,-216373.6,1,225452.2,-73.68496,-6.846023E-011,1.744702E-007,5
18,28,1577.524,75115.64,-261480.1,1,272055.5,-73.97218,-6.417904E-011,2.443208E-006,5
19,29,1265.625,89908.03,-314190.1,1,326800.9,-74.0311,-2.047992E-011,-1.262291E-006,5
20,31,998.264,108074.4,-383519.2,1,398455.8,-74.26234,-6.768762E-011,1.291438E-006,5
21,32,796.875,131217.1,-463292.6,1,481516.3,-74.18643,-1.105338E-011,-5.303073E-007,5
22,34,627.7902,164790,-563837.6,1,587425.4,-73.70821,2.034665E-011,6.511291E-006,4
23,35,505.5147,195556.7,-676272.4,1,703979.2,-73.8718,-4.716436E-013,1.491651E-006,4
24,37,397.9953,237036.5,-826579.1,1,859894.9,-73.99879,-2.539774E-013,-1.377332E-006,4
25,38,315.5048,286711.1,-1004339,1,1044462,-74.06742,-6.229529E-013,-3.057488E-006,4
26,39,252.4038,345376.3,-1211072,1,1259357,-74.08279,1.002309E-012,3.239467E-006,4
27,41,198.6229,423463.8,-1479918,1,1539311,-74.03206,1.017925E-012,4.537382E-006,4
28,42,158.3615,514808,-1788008,1,1860645,-73.93769,2.463481E-012,7.791605E-007,4
29,44,125.558,631169.7,-2168594,1,2258578,-73.77235,4.042391E-013,3.260284E-006,4
30,45,100.4464,770308.3,-2609334,1,2720661,-73.55273,1.340619E-012,4.865396E-006,4
31,47,79.00281,958105,-3182303,1,3323404,-73.24437,2.535173E-012,6.094982E-006,4
32,48,63.3446,1174878,-3814448,1,3991285,-72.88078,3.905437E-012,7.377659E-006,4
33,50,49.86702,1508116,-4610637,1,4851019,-71.88734,-7.734841E-013,0.0001046,3
34,52,39.72458,1856921,-5527572,1,5831141,-71.43085,-7.614534E-013,0.0000976,3
35,53,31.6723,2279971,-6597838,1,6980669,-70.93673,-1.155557E-012,0.0001002,3
36,55,24.93351,2812832,-7922460,1,8406985,-70.45284,-7.305285E-013,0.0000996,3
37,56,19.86229,3391879,-9401753,1,9.994889E+006,-70.16203,-5.73626E-012,0.0001589,3
38,57,15.83615,4042263,-1.112993E+007,1,1.184125E+007,-70.03956,-4.091401E-012,0.0001557,3
39,59,12.40079,4826990,-1.338382E+007,1,1.422767E+007,-70.16773,-3.497606E-012,0.0001578,3
40,60,9.93114,5612284,-1.585029E+007,1,1.681456E+007,-70.50192,-2.353745E-012,0.0001562,3
41,62,7.944915,6468063,-1.886962E+007,1,1.994739E+007,-71.07948,-2.087149E-012,0.0001551,3
42,63,6.317385,7458401,-2.268099E+007,1,2.387583E+007,-71.7971,-1.578317E-012,0.0001553,3
43,65,5.008013,8635038,-2.745853E+007,1,2.878428E+007,-72.54292,-1.492073E-012,0.0001551,3
44,68,3.945707,1.006338E+007,-3.351841E+007,1,3.49965E+007,-73.28844,-1.338444E-012,0.0001564,3
45,70,3.158693,1.190618E+007,-4.052856E+007,1,4.224123E+007,-73.62866,-3.61909E-012,4.009049E-005,2
46,73,2.504006,1.396875E+007,-4.944139E+007,1,5.137681E+007,-74.22334,-3.541623E-012,4.519805E-005,2
47,76,1.998082,1.639437E+007,-6.004218E+007,1,6.224017E+007,-74.72781,-3.438227E-012,4.260872E-005,2
48,80,1.584686,1.946721E+007,-7.33741E+007,1,7.591265E+007,-75.14094,-3.33485E-012,4.795439E-005,2
49,84,1.266892,2.315567E+007,-8.909986E+007,1,9.20596E+007,-75.43198,-3.246597E-012,3.931381E-005,2
50,89,0.999041,2.804919E+007,-1.095323E+008,1,1.130667E+008,-75.63628,-3.171092E-012,3.716849E-005,2
51,95,0.7923428,3.404532E+007,-1.339241E+008,1,1.381837E+008,-75.73676,-3.095753E-012,4.011228E-005,2
52,101,0.6334459,4.138692E+007,-1.626748E+008,1,1.67857E+008,-75.72592,-2.98905E-012,3.979794E-005,2
53,108,0.5040323,5.082376E+007,-1.982562E+008,1,2.04667E+008,-75.62164,-2.939744E-012,4.268283E-005,2
54,117,0.400641,6.275384E+007,-2.415807E+008,1,2.495982E+008,-75.43848,-2.835665E-012,4.35882E-005,2
55,129,0.316723,7.834587E+007,-2.956493E+008,1,3.058539E+008,-75.15799,-2.757162E-012,4.339242E-005,2
56,142,0.2520161,9.719163E+007,-3.593108E+008,1,3.722236E+008,-74.86401,-2.697698E-012,4.025964E-005,2
57,159,0.2003205,1.210789E+008,-4.367278E+008,1,4.532012E+008,-74.50444,-2.618846E-012,3.96169E-005,2
58,181,0.1588983,1.515939E+008,-5.318495E+008,1,5.530322E+008,-74.09078,-2.631821E-012,0.0001108,1
59,206,0.1260081,1.894688E+008,-6.473317E+008,1,6.7449E+008,-73.68567,-2.581156E-012,0.0001126,1
60,236,0.1001603,2.365137E+008,-7.85436E+008,1,8.202733E+008,-73.24168,-2.578587E-012,0.0001072,1
